'3', 'passé simple', 'indicatif', '2', 'abstraire', '0'
'3', 'passé simple', 'indicatif', '3', 'abstraire', '0'
'3', 'passé simple', 'indicatif', '4', 'abstraire', '0'
'3', 'passé simple', 'indicatif', '5', 'abstraire', '0'
'3', 'passé simple', 'indicatif', '6', 'abstraire', '0'
'3', 'futur simple', 'indicatif', '1', 'abstraire', '0'
'3', 'futur simple', 'indicatif', '2', 'abstraire', '0'
'3', 'futur simple', 'indicatif', '3', 'abstraire', '0'
'3', 'futur simple', 'indicatif', '4', 'abstraire', '0'
'3', 'futur simple', 'indicatif', '5', 'abstraire', '0'
'3', 'futur simple', 'indicatif', '6', 'abstraire', '0'
'3', 'présent', 'conditionnel', '1', 'abstraire', '0'
'3', 'présent', 'conditionnel', '2', 'abstraire', '0'
'3', 'présent', 'conditionnel', '3', 'abstraire', '0'
'3', 'présent', 'conditionnel', '4', 'abstraire', '0'
'3', 'présent', 'conditionnel', '5', 'abstraire', '0'
'3', 'présent', 'conditionnel', '6', 'abstraire', '0'
'3', 'présent', 'subjonctif', '1', 'abstraire', '0'
'3', 'présent', 'subjonctif', '2', 'abstraire', '0'
'3', 'présent', 'subjonctif', '3', 'abstraire', '0'
'3', 'présent', 'subjonctif', '4', 'abstraire', '0'
'3', 'présent', 'subjonctif', '5', 'abstraire', '0'
'3', 'présent', 'subjonctif', '6', 'abstraire', '0'
'3', 'imparfait', 'subjonctif', '1', 'abstraire', '0'
'3', 'imparfait', 'subjonctif', '2', 'abstraire', '0'
'3', 'imparfait', 'subjonctif', '3', 'abstraire', '0'
'3', 'imparfait', 'subjonctif', '4', 'abstraire', '0'
'3', 'imparfait', 'subjonctif', '5', 'abstraire', '0'
'3', 'imparfait', 'subjonctif', '6', 'abstraire', '0'
'3', 'présent', 'impératif', '2', 'abstraire', '0'
'3', 'présent', 'impératif', '4', 'abstraire', '0'
'3', 'présent', 'impératif', '5', 'abstraire', '0'
'3', 'présent', 'participe', '1', 'abstraire', '0'
'3', 'passé', 'participe', '1', 'abstraire', '0'
'3', 'présent', 'indicatif', '1', 'accourir', '0'
'3', 'présent', 'indicatif', '2', 'accourir', '0'
'3', 'présent', 'indicatif', '3', 'accourir', '0'
'3', 'présent', 'indicatif', '4', 'accourir', '0'
'3', 'présent', 'indicatif', '5', 'accourir', '0'
'3', 'présent', 'indicatif', '6', 'accourir', '0'
'3', 'imparfait', 'indicatif', '1', 'accourir', '0'
'3', 'imparfait', 'indicatif', '2', 'accourir', '0'
'3', 'imparfait', 'indicatif', '3', 'accourir', '0'
'3', 'imparfait', 'indicatif', '4', 'accourir', '0'
'3', 'imparfait', 'indicatif', '5', 'accourir', '0'
'3', 'imparfait', 'indicatif', '6', 'accourir', '0'
'3', 'passé simple', 'indicatif', '1', 'accourir', '0'
'3', 'passé simple', 'indicatif', '2', 'accourir', '0'
'3', 'passé simple', 'indicatif', '3', 'accourir', '0'
'3', 'passé simple', 'indicatif', '4', 'accourir', '0'
'3', 'passé simple', 'indicatif', '5', 'accourir', '0'
'3', 'passé simple', 'indicatif', '6', 'accourir', '0'
'3', 'futur simple', 'indicatif', '1', 'accourir', '0'
'3', 'futur simple', 'indicatif', '2', 'accourir', '0'
'3', 'futur simple', 'indicatif', '3', 'accourir', '0'
'3', 'futur simple', 'indicatif', '4', 'accourir', '0'
'3', 'futur simple', 'indicatif', '5', 'accourir', '0'
'3', 'futur simple', 'indicatif', '6', 'accourir', '0'
'3', 'présent', 'conditionnel', '1', 'accourir', '0'
'3', 'présent', 'conditionnel', '2', 'accourir', '0'
'3', 'présent', 'conditionnel', '3', 'accourir', '0'
'3', 'présent', 'conditionnel', '4', 'accourir', '0'
'3', 'présent', 'conditionnel', '5', 'accourir', '0'
'3', 'présent', 'conditionnel', '6', 'accourir', '0'
'3', 'présent', 'subjonctif', '1', 'accourir', '0'
'3', 'présent', 'subjonctif', '2', 'accourir', '0'
'3', 'présent', 'subjonctif', '3', 'accourir', '0'
'3', 'présent', 'subjonctif', '4', 'accourir', '0'
'3', 'présent', 'subjonctif', '5', 'accourir', '0'
'3', 'présent', 'subjonctif', '6', 'accourir', '0'
'3', 'imparfait', 'subjonctif', '1', 'accourir', '0'
'3', 'imparfait', 'subjonctif', '2', 'accourir', '0'
'3', 'imparfait', 'subjonctif', '3', 'accourir', '0'
'3', 'imparfait', 'subjonctif', '4', 'accourir', '0'
'3', 'imparfait', 'subjonctif', '5', 'accourir', '0'
'3', 'imparfait', 'subjonctif', '6', 'accourir', '0'
'3', 'présent', 'impératif', '2', 'accourir', '0'
'3', 'présent', 'impératif', '4', 'accourir', '0'
'3', 'présent', 'impératif', '5', 'accourir', '0'
'3', 'présent', 'participe', '1', 'accourir', '0'
'3', 'passé', 'participe', '1', 'accourir', '0'
'3', 'présent', 'indicatif', '1', 'accroître', '0'
'3', 'présent', 'indicatif', '2', 'accroître', '0'
'3', 'présent', 'indicatif', '3', 'accroître', '0'
'3', 'présent', 'indicatif', '4', 'accroître', '0'
'3', 'présent', 'indicatif', '5', 'accroître', '0'
'3', 'présent', 'indicatif', '6', 'accroître', '0'
'3', 'imparfait', 'indicatif', '1', 'accroître', '0'
'3', 'imparfait', 'indicatif', '2', 'accroître', '0'
'3', 'imparfait', 'indicatif', '3', 'accroître', '0'
'3', 'imparfait', 'indicatif', '4', 'accroître', '0'
'3', 'imparfait', 'indicatif', '5', 'accroître', '0'
'3', 'imparfait', 'indicatif', '6', 'accroître', '0'
'3', 'passé simple', 'indicatif', '1', 'accroître', '0'
'3', 'passé simple', 'indicatif', '2', 'accroître', '0'
'3', 'passé simple', 'indicatif', '3', 'accroître', '0'
'3', 'passé simple', 'indicatif', '4', 'accroître', '0'
'3', 'passé simple', 'indicatif', '5', 'accroître', '0'
'3', 'passé simple', 'indicatif', '6', 'accroître', '0'
'3', 'futur simple', 'indicatif', '1', 'accroître', '0'
'3', 'futur simple', 'indicatif', '2', 'accroître', '0'
'3', 'futur simple', 'indicatif', '3', 'accroître', '0'
'3', 'futur simple', 'indicatif', '4', 'accroître', '0'
'3', 'futur simple', 'indicatif', '5', 'accroître', '0'
'3', 'futur simple', 'indicatif', '6', 'accroître', '0'
'3', 'présent', 'conditionnel', '1', 'accroître', '0'
'3', 'présent', 'conditionnel', '2', 'accroître', '0'
'3', 'présent', 'conditionnel', '3', 'accroître', '0'
'3', 'présent', 'conditionnel', '4', 'accroître', '0'
'3', 'présent', 'conditionnel', '5', 'accroître', '0'
'3', 'présent', 'conditionnel', '6', 'accroître', '0'
'3', 'présent', 'subjonctif', '1', 'accroître', '0'
'3', 'présent', 'subjonctif', '2', 'accroître', '0'
'3', 'présent', 'subjonctif', '3', 'accroître', '0'
'3', 'présent', 'subjonctif', '4', 'accroître', '0'
'3', 'présent', 'subjonctif', '5', 'accroître', '0'
'3', 'présent', 'subjonctif', '6', 'accroître', '0'
'3', 'imparfait', 'subjonctif', '1', 'accroître', '0'
'3', 'imparfait', 'subjonctif', '2', 'accroître', '0'
'3', 'imparfait', 'subjonctif', '3', 'accroître', '0'
'3', 'imparfait', 'subjonctif', '4', 'accroître', '0'
'3', 'imparfait', 'subjonctif', '5', 'accroître', '0'
'3', 'imparfait', 'subjonctif', '6', 'accroître', '0'
'3', 'présent', 'impératif', '2', 'accroître', '0'
'3', 'présent', 'impératif', '4', 'accroître', '0'
'3', 'présent', 'impératif', '5', 'accroître', '0'
'3', 'présent', 'participe', '1', 'accroître', '0'
'3', 'passé', 'participe', '1', 'accroître', '0'
'3', 'présent', 'indicatif', '1', 'accueillir', '0'
